,Layer1_top10,Layer2_top10,Layer3_top10,Layer4_top10,Layer5_top10,Layer6_top10,Layer7_top10,Layer8_top10,Layer9_top10,Layer10_top10
0,"('basketballrim (2).jpg', 1.000009743789258)","('beachball (2).jpg', 1.1670910326841644)","('beachball (2).jpg', 1.118969530657104)","('beachball (2).jpg', 1.1193739861908818)","('beachball (2).jpg', 1.1193739861908818)","('beachball (2).jpg', 1.2930878702627577)","('rolette (2).jpg', 1.5455160249356437)","('remotecontrol (2).jpg', 2.6041905378065064)","('tableset (2).jpg', 5.273960810533356)","('pizza (2).jpg', 5.282512244141175)"
1,"('highchair (2).jpg', 1.0000096725620395)","('pallette (2).jpg', 1.1229024543748396)","('rubberduck (2).jpg', 1.0805922789575872)","('tennisball (2).jpg', 1.0832562210273355)","('tennisball (2).jpg', 1.0832562210273355)","('carpet (2).jpg', 1.227849498028544)","('carpet (2).jpg', 1.5036876400402985)","('rolette (2).jpg', 2.3518018934417184)","('pizza (2).jpg', 4.730572596838851)","('television (2).jpg', 4.523238420846283)"
2,"('bike (2).jpg', 1.0000095331866181)","('tennisball (2).jpg', 1.1205457279720852)","('pallette (2).jpg', 1.0802110959605398)","('sippycup (2).jpg', 1.0800339034300057)","('sippycup (2).jpg', 1.0800339034300057)","('bag (2).jpg', 1.2141657126555618)","('remotecontrol (2).jpg', 1.4925915205964249)","('pizza (2).jpg', 2.321927821035299)","('television (2).jpg', 4.5410181418603095)","('carpet (2).jpg', 3.7427614462818646)"
3,"('footballball (2).jpg', 1.0000095331866181)","('rubberduck (2).jpg', 1.1088871076435527)","('sippycup (2).jpg', 1.0802053105705038)","('rubberduck (2).jpg', 1.0799123577780037)","('rubberduck (2).jpg', 1.0799123577780037)","('pants (2).jpg', 1.2058606265597678)","('plant (2).jpg', 1.4561298347824936)","('carpet (2).jpg', 2.302233732175174)","('carpet (2).jpg', 4.22260227241331)","('tableset (2).jpg', 3.6931844784008327)"
4,"('stroller (2).jpg', 1.0000095331866181)","('sippycup (2).jpg', 1.0944891408621429)","('tennisball (2).jpg', 1.079875023282254)","('pallette (2).jpg', 1.0796403329586253)","('pallette (2).jpg', 1.0796403329586253)","('rolette (2).jpg', 1.2031311113751197)","('pants (2).jpg', 1.4179776760253844)","('chess (2).jpg', 2.1805777343059884)","('horse (2).jpg', 4.096510382049039)","('crib (2).jpg', 3.512143367326184)"
5,"('motorcycle (2).jpg', 1.0000095331866181)","('carpet (2).jpg', 1.0903075729088514)","('pants (2).jpg', 1.0742471199649641)","('pants (2).jpg', 1.0741836282100299)","('pants (2).jpg', 1.0741836282100299)","('pizza (2).jpg', 1.1938643416482788)","('lipstick (2).jpg', 1.4004290751276047)","('horse (2).jpg', 2.0766469785757136)","('crib (2).jpg', 4.050946854166607)","('horse (2).jpg', 3.22922319969386)"
6,"('tent (2).jpg', 1.0000095331866181)","('pants (2).jpg', 1.0887957442609602)","('golfcart (2).jpg', 1.0667965005852962)","('golfcart (2).jpg', 1.0662785787383824)","('golfcart (2).jpg', 1.0662785787383824)","('paper (2).jpg', 1.1880635886762896)","('sleepingbag (2).jpg', 1.3987168287936114)","('sleepingbag (2).jpg', 2.0364519660554463)","('sofa (2).jpg', 3.898457451110411)","('sofa (2).jpg', 2.883283157103359)"
7,"('dresser (2).jpg', 1.0000095331866181)","('pancake (2).jpg', 1.0803798926631405)","('deskchair (2).jpg', 1.0645330806807527)","('deskchair (2).jpg', 1.0640524346703422)","('deskchair (2).jpg', 1.0640524346703422)","('backhoe (2).jpg', 1.184046466600703)","('backhoe (2).jpg', 1.3974631885726967)","('bike (2).jpg', 2.024530839540861)","('plant (2).jpg', 3.286532090903423)","('motorcycle (2).jpg', 2.797262625292835)"
8,"('coatrack (2).jpg', 1.0000094649943658)","('pizza (2).jpg', 1.0778509196262018)","('bike (2).jpg', 1.0582073306477702)","('bike (2).jpg', 1.0577213811002122)","('bike (2).jpg', 1.0577213811002122)","('tennisball (2).jpg', 1.1746481188853646)","('pizza (2).jpg', 1.3822138187514637)","('motorcycle (2).jpg', 2.02229584982102)","('motorcycle (2).jpg', 3.2773225578139167)","('washer (2).jpg', 2.637749521580383)"
9,"('helmet (2).jpg', 1.0000094649943658)","('mailbox (2).jpg', 1.0729307836432487)","('cone (2).jpg', 1.056112088404001)","('cone (2).jpg', 1.0566945438427884)","('cone (2).jpg', 1.0566945438427884)","('sippycup (2).jpg', 1.173323051718445)","('bike (2).jpg', 1.3712669633862806)","('lipstick (2).jpg', 2.013021721209197)","('washer (2).jpg', 3.239148255369889)","('tractor (2).jpg', 2.6096544231213117)"
